opening connection using: ssh -l heng wushi.atrenta.com rsync --server -vvlogDtprze.iLsf --delete --partial . /nextop/nxt2/mantis/ 
sending incremental file list
delta-transmission enabled
readme_ci.md is uptodate
5156/log/Application/Medium/JDAes/AES.v is uptodate
5156/log/Application/Medium/JDAes/aes.arg is uptodate
5156/log/Application/Medium/JDAes/aes.arg.modarg is uptodate
5156/log/Application/Medium/JDAes/aes.arg.modarg.save.release.db is uptodate
5156/log/Application/Medium/JDAes/aes.arg.modarg.save_prop.release.db is uptodate
5156/log/Application/Medium/JDAes/aes.arg.save.release.db is uptodate
5156/log/Application/Medium/JDAes/aes.cmp is uptodate
5156/log/Application/Medium/JDAes/aes.cov.cmp is uptodate
5156/log/Application/Medium/JDAes/aes.hima.arg is uptodate
5156/log/Application/Medium/JDAes/aes.hima.arg.modarg is uptodate
5156/log/Application/Medium/JDAes/aes.hima.arg.modarg.save.release.db is uptodate
5156/log/Application/Medium/JDAes/aes.hima.arg.modarg.save_prop.release.db is uptodate
5156/log/Application/Medium/JDAes/aes.hima.arg.save.release.db is uptodate
5156/log/Application/Medium/JDAes/aes.hima.cmp is uptodate
5156/log/Application/Medium/JDAes/aes.hima.cov.cmp is uptodate
5156/log/Application/Medium/JDAes/aes.hima.tst is uptodate
5156/log/Application/Medium/JDAes/aes.sim is uptodate
5156/log/Application/Medium/JDAes/aes.tst is uptodate
5156/log/Application/Medium/JDAes/aes_inv_sbox.v is uptodate
5156/log/Application/Medium/JDAes/aes_key_expand.v is uptodate
5156/log/Application/Medium/JDAes/aes_option.arg is uptodate
5156/log/Application/Medium/JDAes/aes_option.arg.modarg is uptodate
5156/log/Application/Medium/JDAes/aes_option.arg.modarg.save.release.db is uptodate
5156/log/Application/Medium/JDAes/aes_option.arg.modarg.save_prop.release.db is uptodate
5156/log/Application/Medium/JDAes/aes_option.arg.save.release.db is uptodate
5156/log/Application/Medium/JDAes/aes_option.cmp is uptodate
5156/log/Application/Medium/JDAes/aes_option.cov.cmp is uptodate
5156/log/Application/Medium/JDAes/aes_option.hima.arg is uptodate
5156/log/Application/Medium/JDAes/aes_option.hima.arg.modarg is uptodate
